Indicator,Country,Quarter,QoQ,YoY,Pre_Covid
Persons employed,Spain,2022Q4,0.36,2.83,1.99
Persons employed,Spain,2023Q1,1.06,2.8,3.07
Persons employed,Spain,2023Q2,0.96,3.32,4.07
Persons employed,Spain,2023Q3,0.87,3.29,4.97
Persons employed,Spain,2023Q4,0.78,3.72,5.79
Persons employed,Spain,2024Q1,0.34,2.98,6.15
Persons employed,Spain,2024Q2,0.09,2.09,6.24
Persons employed,Spain,2024Q3,0.77,1.98,7.05
Persons employed,Spain,2024Q4,0.93,2.14,8.05
Persons employed,Spain,2025Q1,0.59,2.39,8.68
Persons employed,Spain,2025Q2,0.67,2.98,9.4
Persons employed,Spain,2025Q3,0.66,2.87,10.13
Persons employed,Spain,2025Q4,0.74,2.68,10.94
Persons employed,Spain,2026Q1,0.33,2.41,11.3
Real gross value added,Spain,2018Q1,,,-3.59
Real gross value added,Spain,2018Q2,0.66,,-2.95
Real gross value added,Spain,2018Q3,0.6,,-2.37
Real gross value added,Spain,2018Q4,0.62,,-1.77
Real gross value added,Spain,2019Q1,0.62,2.52,-1.16
Real gross value added,Spain,2019Q2,0.33,2.18,-0.83
Real gross value added,Spain,2019Q3,0.22,1.8,-0.62
Real gross value added,Spain,2019Q4,0.62,1.8,0.0
Real gross value added,Spain,2020Q1,-4.98,-3.86,-4.98
Real gross value added,Spain,2020Q2,-18.04,-21.47,-22.12
Real gross value added,Spain,2020Q3,15.99,-9.11,-9.67
Real gross value added,Spain,2020Q4,0.72,-9.02,-9.02
Real gross value added,Spain,2021Q1,1.09,-3.21,-8.03
Real gross value added,Spain,2021Q2,1.09,19.37,-7.03
Real gross value added,Spain,2021Q3,1.97,4.94,-5.2
Real gross value added,Spain,2021Q4,2.05,6.33,-3.26
Real gross value added,Spain,2022Q1,1.97,7.25,-1.36
Real gross value added,Spain,2022Q2,1.81,8.02,0.43
Real gross value added,Spain,2022Q3,0.93,6.93,1.36
Real gross value added,Spain,2022Q4,0.69,5.5,2.06
Real gross value added,Spain,2023Q1,0.22,3.7,2.29
Real gross value added,Spain,2023Q2,0.28,2.14,2.58
Real gross value added,Spain,2023Q3,0.95,2.16,3.55
Real gross value added,Spain,2023Q4,1.06,2.53,4.64
Real gross value added,Spain,2024Q1,1.09,3.42,5.79
Real gross value added,Spain,2024Q2,1.11,4.27,6.96
Real gross value added,Spain,2024Q3,0.71,4.03,7.72
Real gross value added,Spain,2024Q4,0.94,3.91,8.74
Real gross value added,Spain,2025Q1,0.62,3.42,9.41
Real gross value added,Spain,2025Q2,0.79,3.09,10.27
Real gross value added,Spain,2025Q3,0.72,3.1,11.07
Real gross value added,Spain,2025Q4,0.82,2.98,11.98
Real gross value added,Spain,2026Q1,0.73,3.1,12.8
Total hours worked,Spain,2018Q1,,,-2.93
Total hours worked,Spain,2018Q2,1.04,,-1.92
Total hours worked,Spain,2018Q3,0.84,,-1.1
Total hours worked,Spain,2018Q4,-0.09,,-1.19
Total hours worked,Spain,2019Q1,1.48,3.3,0.27
Total hours worked,Spain,2019Q2,-0.82,1.4,-0.55
Total hours worked,Spain,2019Q3,0.46,1.02,-0.09
Total hours worked,Spain,2019Q4,0.09,1.2,0.0
Total hours worked,Spain,2020Q1,-5.4,-5.66,-5.4
Total hours worked,Spain,2020Q2,-21.66,-25.48,-25.89
Total hours worked,Spain,2020Q3,25.68,-6.78,-6.86
Total hours worked,Spain,2020Q4,0.88,-6.04,-6.04
Total hours worked,Spain,2021Q1,-2.34,-3.0,-8.23
Total hours worked,Spain,2021Q2,4.79,29.75,-3.84
Total hours worked,Spain,2021Q3,0.29,3.54,-3.57
Total hours worked,Spain,2021Q4,0.66,3.31,-2.93
Total hours worked,Spain,2022Q1,2.26,8.18,-0.73
Total hours worked,Spain,2022Q2,1.01,4.28,0.27
Total hours worked,Spain,2022Q3,0.46,4.46,0.73
Total hours worked,Spain,2022Q4,-0.27,3.49,0.46
Total hours worked,Spain,2023Q1,1.82,3.04,2.29
Total hours worked,Spain,2023Q2,-0.36,1.64,1.92
Total hours worked,Spain,2023Q3,1.8,3.0,3.75
Total hours worked,Spain,2023Q4,-0.18,3.1,3.57
Total hours worked,Spain,2024Q1,0.35,1.61,3.93
Total hours worked,Spain,2024Q2,0.97,2.96,4.94
Total hours worked,Spain,2024Q3,0.09,1.23,5.03
Total hours worked,Spain,2024Q4,1.66,3.09,6.77
Total hours worked,Spain,2025Q1,-0.51,2.2,6.22
Total hours worked,Spain,2025Q2,0.34,1.57,6.59
Total hours worked,Spain,2025Q3,1.03,2.53,7.69
Total hours worked,Spain,2025Q4,1.02,1.89,8.78
Total hours worked,Spain,2026Q1,-0.34,2.07,8.42
